,Area,YearBuilt,Rooms,Location,Price,Floor
93,۱۷۵,۱۳۹۵,۳, هروی,۱۹۲۵۰۰۰۰۰۰۰,۲
94,۵۶,۱۳۹۴,۱, یافت‌آباد,۱۸۴۰۰۰۰۰۰۰,0
95,۴۹,۱۴۰۰,۱, بریانک,۳۲۰۰۰۰۰۰۰۰,0
96,۱۱۵,۱۳۸۷,۲, زعفرانیه,۲۴۰۰۰۰۰۰۰۰۰,۴
97,۱۶۶,۱۳۹۵,۳, هروی,۲۰۰۰۰۰۰۰۰۰۰,۲
98,۱۴۲,۱۳۸۶,۳, هروی,۱۶۸۰۰۰۰۰۰۰۰,۱ 
99,۲۳۰,۱۴۰۲,۳, دروس,۶۸۰۰۰۰۰۰۰۰۰,۴ 
100,۷۲,۱۳۹۴,۲, نیاوران,۸۳۰۰۰۰۰۰۰۰,۱
101,۵۷,۱۳۸۵,۱, افسریه,۲۹۳۰۰۰۰۰۰۰,0
102,۱۴۰,۱۳۹۱,۳, حکیمیه,۹۷۰۰۰۰۰۰۰۰,۵ 
103,۴۲۰,۱۳۹۳,۴, فرمانیه,۱۰۵۰۰۰۰۰۰۰۰۰,۹
104,۶۵,۱۳۸۸,۱, شهرک راه‌آهن,۶۰۳۰۰۰۰۰۰۰,۳ 
105,۷۰,۱۳۸۹,۲, دهکده المپیک,۴۹۶۰۰۰۰۰۰۰,۲ 
106,۸۵,۱۳۹۵,۲, گیشا (کوی نصر),۱۱۹۰۰۰۰۰۰۰۰,0
107,۱۷۷,۱۳۸۵,۳, شهر زیبا,۱۳۵۰۰۰۰۰۰۰۰,۱ 
108,۱۱۰,۱۴۰۲,۲, آجودانیه,۱۵۴۰۰۰۰۰۰۰۰,۹ 
109,۷۰,۱۳۹۵,۲, شهرک کیانشهر,۳۵۰۰۰۰۰۰۰۰,۳ 
110,۱۱۰,۱۳۹۴,۲, شهرک راه‌آهن,۷۱۰۰۰۰۰۰۰۰,۱ 
111,۵۰,۱۳۹۴,۱, شهرک کیانشهر,۲۳۹۰۰۰۰۰۰۰,۳ 
112,۸۳,۱۴۰۱,۲, شهرک کیانشهر,۴۱۹۹۰۰۰۰۰۰,۳ 
113,۶۰,۱۳۹۵,۱, شهرک کیانشهر,۲۹۰۰۰۰۰۰۰۰,۲ 
114,۶۱,۱۳۹۳,۱, شهرک کیانشهر,۲۷۴۰۰۰۰۰۰۰,۵ 
115,۷۷,۱۳۷۲,۲, شهرک کیانشهر,۲۶۹۹۰۰۰۰۰۰,۴ 
116,۱۳۸,۱۳۹۹,۲, دریاچه شهدای خلیج فارس,۶۵۰۰۰۰۰۰۰۰,۱۲
117,۱۳۲,۱۴۰۱,۳, پاسداران,۱۸۵۰۰۰۰۰۰۰۰,۵
118,۱۴۴,۱۴۰۰,۳, ظفر,۲۱۵۰۰۰۰۰۰۰۰,۳
119,۴۹,۱۳۸۳,۱, آهنگ,۳۲۰۰۰۰۰۰۰۰,0
120,۷۶,۱۳۸۷,۲, پونک,۷۴۰۰۰۰۰۰۰۰,۵
121,۱۱۰,۱۴۰۱,۲, ستارخان,۹۳۰۰۰۰۰۰۰۰,۵ 
122,۷۸,۱۳۹۴,۲, شهرک پرواز,۸۶۰۰۰۰۰۰۰۰,۳
123,۹۴,۱۳۹۹,۲, دربند,۱۴۲۰۰۰۰۰۰۰۰,۵
124,۸۵,۱۴۰۱,۲, جنت‌آباد مرکزی,۱۰۳۰۰۰۰۰۰۰۰,۵
125,۱۵۵,۱۳۹۵,۳, نیاوران,۲۲۵۰۰۰۰۰۰۰۰,۳
126,۱۲۰,۱۴۰۱,۳, چیتگر,۳۰۶۰۰۰۰۰۰۰,۱۶ 
127,۹۴,۱۳۷۶,۲, کوی فردوس,۷۶۰۰۰۰۰۰۰۰,0
128,۸۷,۱۴۰۰,۲, دریان‌نو,۹۳۴۰۰۰۰۰۰۰,۵
129,۸۰,۱۳۹۱,۲, هروی,۸۸۰۰۰۰۰۰۰۰,۳
130,۱۰۰,۱۴۰۲,۲, دریاچه شهدای خلیج فارس,۲۸۰۰۰۰۰۰۰۰,۹ 
131,۱۶۵,۱۴۰۰,۳, زعفرانیه,۴۸۰۰۰۰۰۰۰۰۰,۳
132,۵۳,۱۳۹۶,۱, جیحون,۳۲۰۰۰۰۰۰۰۰,۴ 
133,۱۵۵,۱۳۹۶,۳, سعادت‌آباد,۳۱۰۰۰۰۰۰۰۰۰,۲ 
134,۶۴,۱۳۹۳,۱, دکتر هوشیار,۴۵۰۰۰۰۰۰۰۰,۱ 
135,۳۵۸,۱۳۹۵,۴, نیاوران,۸۱۰۰۰۰۰۰۰۰۰,۹ 
136,۸۵,۱۳۸۱,۲, صادقیه,۷۴۵۰۰۰۰۰۰۰,۲ 
137,۶۳,۱۳۸۹,۲, جیحون,۴۰۰۰۰۰۰۰۰۰,۱ 
138,۲۰۰,۱۳۸۵,۳, ولنجک,۳۱۰۰۰۰۰۰۰۰۰,۹
139,۱۰۰,۱۴۰۱,۲, چیتگر,۲۸۰۰۰۰۰۰۰۰,۱۵
140,۱۰۰,۱۴۰۱,۲, چیتگر,۲۸۰۰۰۰۰۰۰۰,۱۰
141,۶۷,۱۳۸۹,۱, کوی فردوس,۷۳۰۰۰۰۰۰۰۰,۳ 
142,۱۳۲,۱۴۰۲,۳, سعادت‌آباد,۳۳۰۰۰۰۰۰۰۰۰,۵ 
143,۱۴۸,۱۴۰۰,۳, سعادت‌آباد,۲۸۰۰۰۰۰۰۰۰۰,۲ 
144,۴۸,۱۴۰۲,۱, آذربایجان,۳۹۰۵۰۰۰۰۰۰,۱ 
145,۱۱۴,۱۴۰۲,۲, سعادت‌آباد,۱۸۰۸۰۰۰۰۰۰۰,۶ 
146,۱۵۵,۱۳۸۴,۳, دروس,۲۱۰۰۰۰۰۰۰۰۰,۲
147,۱۱۰,۱۴۰۱,۲, سهروردی,۱۴۳۰۰۰۰۰۰۰۰,۴ 
148,۱۲۵,۱۴۰۰,۳, مبارک‌آباد بهشتی,۳۱۲۵۰۰۰۰۰۰,۴
149,۱۳۰,۱۴۰۱,۲, قبا,۱۸۰۰۰۰۰۰۰۰۰,۴
150,۸۶,۱۳۸۲,۲, تهران‌نو,۵۱۶۰۰۰۰۰۰۰,۲ 
151,۷۹,۱۴۰۱,۲, آذربایجان,۷۵۰۰۰۰۰۰۰۰,۴
152,۱۱۰,۱۴۰۱,۲, دروس,۱۸۷۰۰۰۰۰۰۰۰,۳
153,۱۴۸,۱۴۰۲,۲, جردن,۲۸۸۰۰۰۰۰۰۰۰,۲
154,۴۴,۱۳۸۳,۱, مرزداران,۴۴۸۸۰۰۰۰۰۰,۲
